妖怪二十二絵図占術 v1.3.0 全22枚 正逆一覧

0 無垢　（正）可能性・純粋な始まり　（逆）無知・迷走
1 灯主　（正）展望・諦観　（逆）悲観・諦め
2 境守　（正）安定・安心　（逆）停滞・閉塞
3 艶幻　（正）魅力・創造・誘惑　（逆）執着・欺瞞
4 武威　（正）力・支配・決断　（逆）暴走・抑圧
5 語部　（正）知恵・伝承・導き　（逆）偏見・偽りの教え
6 縁結　（正）縁結・絆・選択　（逆）裏切り・不安定
7 疾風　（正）創造・勢い・勝利　（逆）負傷・事故
8 忍耐　（正）屏風・神仏・静剣　（逆）束縛・事故
9 隠者　（正）内省・洞察　（逆）孤立・偏見
10 巡環　（正）結果・再構築　（逆）停滞・抵抗
11 裁断　（正）正義・因果応報　（逆）不公平・誤判断
12 逆吊　（正）観点の転換・受容　（逆）混乱・自己喪失
13 終焉　（正）変化の拒否・頑迷　（逆）開始・再生
14 調和　（正）均衡・修行　（逆）傲慢・逸脱
15 束縛　（正）支配・依存関係　（逆）解放・独立
16 崩壊　（正）自信喪失・迷走　（逆）可能性・立て直し
17 微光　（正）希望・真意　（逆）幻惑・見誤り
18 夢影　（正）無意識・癒し　（逆）悪夢・不安
19 陽気　（正）幸福・繁栄　（逆）失速・停滞
20 呼声　（正）目覚め・使命　（逆）迷走・責任回避
21 完成　（正）統合・調和・完成　（逆）混乱・未完成・散漫
